name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,city,latitude,longitude
Habesha,"19 rue Copreaux, 75015 Paris France",253,4.5,,226,$$ - $$$,,Paris,48.8417251,2.3069423
L'Envie du Jour,"106 rue Nollet, 75017 Paris France",275,4.5,,555,$$ - $$$,$16 - $44,Paris,48.888782,2.3183588
Restaurant Japonais La Marina,"18 Rue de la Michodiere, 75002 Paris France",258,4.5,,319,$$ - $$$,$9 - $30,Paris,48.8704412,2.3349062
BMK Paris-Bamako,"14 Rue de la Fidelite, 75010 Paris France",252,4.5,,210,$$ - $$$,$10 - $16,Paris,48.8746102,2.3565722
Cafe Blanche,"79 rue Blanche, 75009 Paris France",224,4.5,"Situé à deux pas du célèbre Moulin Rouge à Paris, le Café Blanche vous propose une restauration française de qualité. Retrouvez une ambiance festive grâce au nombreux concerts qui animeront vos soirées.",159,$$ - $$$,,Paris,48.8832047,2.3321502
BAFFO,"12 Rue Pecquay, 75004 Paris France",273,4.5,,487,$$ - $$$,$40 - $130,Paris,48.8601419,2.3562158
Le Petit Amalfi,"29 rue de Turin, 75008 Paris France",261,4.5,,391,$$ - $$$,,Paris,48.8823404,2.3242639
Petite Fleur,"5 rue Damremont, 75018 Paris France",256,4.5,"Petite Fleur is an intimate, cozy & friendly Parisian Bistro. We cook only fresh, seasonal and locally sourced products. Our plates are all too share and change every day. Our Biodynamic and/or naturel wines are all from small French wineyards.",567,$$ - $$$,$23 - $50,Paris,48.8875288,2.3325497
Le Saotico,"96 Rue de Richelieu, 75002 Paris France",260,4.5,,1174,$$ - $$$,$18 - $50,Paris,48.870623,2.3394846
Chez Madeleine,"39 rue de Paris, 92100 Boulogne-Billancourt France",1,4.5,,558,$$ - $$$,,Paris,48.837223,2.252946
La Pause Libanaise,"10 Rue De L'Isly, 75008 Paris France",284,4.5,"Découvrez le meilleur restaurant libanais de Paris ️ Goûtez nos spécialités libanaises, à proximité de la gare Saint-Lazare, en livraison, sur place ou à emporter. La Pause Libanaise vous propose des plats traditionnels halals entièrement faits maison : houmous, falafel, mézzé libanais, moutabal d'aubergines, salade Fattouch et bien plus encore ! Chaque jour, nos plats méditerranéens sont cuisinés avec des produits frais et de qualités. Pour accompagner votre repas, profitez de notre sélection de vins et de bières libanaises.",776,$,$20 - $45,Paris,48.8748497,2.3254028
Brutus - Batignolles,"99 rue des Dames, 75017 Paris France",272,4.5,Modern crepery with cider bar. The restaurant is temporary closed due to renovations. It will reopen on Monday August 27th 2018.,276,$$ - $$$,$12 - $20,Paris,48.8830175,2.3184119
La Scene Theleme,"18 Rue Troyon, 75017 Paris France",264,4.5,"An unusual site where you find a starred restaurant and a small theatre, the two owner’s passions. In charge of the restaurant, Yoshitaka Takayanagi is one of the brightest chef of his generation: refinement, harmony, creativity, fresh seasonal ingredients from the market, perfect cooking. Félix Manenti and his staff will be happy to welcome you for a memorable moment.",430,$$$$,$49 - $149,Paris,48.8762593,2.2951581
Le Loubnane,"29 rue Galande, 75005 Paris France",265,4.5,"It was in 1984 that Kamal Nassif, heir to the Ambassador of the Lebanese Gastronomy in France, had the good sense to open Loubnane, continuing the work of his uncle: Rachid Youssef Makhoul, who was the first to try their luck dice 1952 by Chez Rachid, the delights of Lebanon, the only Lebanese restaurant in France. - Quality, home, passion has always been the currency of all establishments that Rachid Kamal and his brothers had the pleasure to know you over the years. - If the history of Lebanon is as complex as rich, what about her Gastronomy? Varied, fine and full of paradoxes, you will find in each of the dishes offered a delicious perfume of the Middle East, a subtle blend of spices and a story that Kamal and his team will surely tell you. - The Loubnane is one of those magical places or form has nothing to envy to the bottom; take time to discover the 13th Century Private rooms in the basement, drenched in history, they will transport you somewhere in the Land of Cedars or the meal is much more than a break in the day ... - It's your turn, close your eyes and let yourself be lulled by the favorite cuisine du Général de Gaulle ...",1382,$$ - $$$,$25 - $45,Paris,48.8512163,2.3477114
Les Trublions,"34 rue de la Montagne Ste Genevieve, 75005 Paris France",288,4.5,"Raula & Romain are happy and proud, after 18 years (for Romain) and 10 years (for Raula), to welcome you to their small, cosy and intimate Bistrot Gourmand. After 2 months of hard work and decoration, Les Trublions opened and we would like you to be part of it's first chapter . We wanted to make this place our life project and a blend of our passions: that of receiving, that of good taste without any fuss, that of sharing flavours, that of smiles and pleasure, that of good wine and good memories.We would like to transform this place into a cocoon for our guests as well as for ourselves by sharing a moment of simplicity where timeless values like good wine, food and words combine. Culinary and Gastronomic Regards.",437,$$ - $$$,$19 - $34,Paris,48.8480312,2.348376
Lea,"152 rue de Paris, 94220 Charenton-le-Pont France",1,4.5,,324,$$ - $$$,$14 - $35,Paris,48.8293133,2.4015281
Casa Festa,"16 rue Jean Jacques Rousseau, 75001 Paris France",300,4.5,,743,$$ - $$$,,Paris,48.8625629,2.3407127
L'Accolade,"208 rue de la Croix Nivert, 75015 Paris France",292,4.5,,225,$$ - $$$,,Paris,48.8372527,2.2893421
Tonkatsu Tombo,"14 rue de l Arrivee, 75015 Paris France",281,4.5,,246,$$ - $$$,,Paris,48.8432892,2.3217021
Menekse,"7 Passage de la Main D Or, 75011 Paris France",322,4.5,,242,$$ - $$$,,Paris,48.8516059,2.3778903
Restaurant OXTE,"5 rue Troyon, 75017 Paris France",283,4.5,,262,$$$$,,Paris,48.8758951,2.2954072
Le Louis,"31 rue Coquilliere, 75001 Paris France",257,4.5,"Le Louis est un restaurant de cuisine Française traditionnelle où tout est fait maison, avec amour à partir de produits frais et de saison. Le cadre est authentique avec ses vieilles pierres et ses poutres apparentes, l'espace réduit, et le service chaleureux, de sorte à ce que chacun se sente un peu comme à la maison! En invité! Le Louis a obtenu sa Toque Gourmande ""Gault & Millau en juin 2022.",1055,$$ - $$$,$20 - $50,Paris,48.8642497,2.3414166
46 & 3rd,"46 rue de Turbigo, 75003 Paris France",247,4.5,"Hello, thank you for your interest at our restaurant. We do not accept reservations, please come anytime you want… We use fresh, seasonal and finest ingredients for our recipes. Our specialty is breakfast & brunch every day of the week... We are passionate about our pancakes, our crispy bacon, our eggs Benedict options and our coffee. We hope that you will spend great time at our restaurant with your friends, families or alone. Looking forward to meeting you!! 46 & 3rd Team",255,$$ - $$$,$10 - $28,Paris,48.8651013,2.3550303
Chez Toinette,"20 rue Germain Pilon, 75018 Paris France",259,4.5,Welcome on our typical Parisian place in Montmarte. We welcome you every day except Sunday from 7:00 pm We propose you nice French food and wines… You can reserve by phone or mail. Hope to see you soon,1618,$$ - $$$,$19 - $40,Paris,48.8841497,2.3369147
Olive & Thym - Par Man'ouche,"60 rue Quincampoix, 75004 Paris France",242,4.5,"Est un concept imaginé par deux frères d'origine libanaise bercés par la cuisine méditerranéenne. Après avoir redynamiser le street food Man'ouché institution de la galette traditionnelle libanaise, ils s'inspirent de nouvelles tendances food pour remettre la cuisine libanaise au gout du jour avec de nouvelles recettes et un nouveau format baptisé la «cartounée»...",313,$,,Paris,48.8614904,2.3507933
La Reserve Du Terroir,"13 Rue Quincampoix, 75004 Paris France",358,5.0,,528,$,$15 - $35,Paris,48.8596175,2.3497537
Les Fines Lames,"35 rue Lepic, 75018 Paris France",280,4.5,,239,$$$$,$30 - $70,Paris,48.8862632,2.3340045
YO,"10 rue de Port Mahon, 75002 Paris France",285,4.5,,456,$$ - $$$,,Paris,48.8696464,2.3340805
Papelli,"61 rue du Faubourg Saint Martin, 75010 Paris France",298,4.5,Papelli is an italian trattoria Everyday fresh pizzas and salads A large propositions of drinks Cool place with selected products,341,$$ - $$$,$9 - $18,Paris,48.8716291,2.3569654
Le Cambodge,"2 rue Leriche, 75015 Paris France",308,4.5,,213,$,,Paris,48.8359233,2.2940579
Les Cedres Du Liban Paris,"5 Avenue Du Maine, 75015 Paris France",289,4.5,,1045,$$ - $$$,$10 - $25,Paris,48.8444859,2.3203079
O Soleil Couscous Maison,"21 rue de Patay, 75013 Paris France",555,5.0,,182,$,$8 - $18,Paris,48.8248944,2.3755053
Royal Dragon,"98 boulevard du Montparnasse, 75014 Paris France",328,4.5,Restaurant de type buffet à volonté chinois japonais . Grande variétés de plats et de dessert à votre disposition beaucoup de choix .,706,$,$12 - $30,Paris,48.8424152,2.3276286
LOCO,"31 bis Rue du Faubourg Montmartre, 75009 Paris France",290,4.5,,640,$$ - $$$,$16 - $30,Paris,48.8738029,2.3424267
Holybelly,"5 rue Lucien Sampaix, 75010 Paris France",299,4.5,"Founded in 2013, Holybelly strives to provide the best food, coffee and service in a relaxed environment. After being trained in Melbourne, we wanted to offer the same kind of experience in Paris, a café setting serving proper restaurant food, the finest mix! At Holybelly ""it's good because we care.""",1297,$$ - $$$,$10 - $30,Paris,48.871003,2.3598192
Pizza Caratello,"8 rue Audran, 75018 Paris France",287,4.5,"Real Italian pizzeria, with large choice of pizzas, delicious Pasta, apetizers, and home Made deserts.",662,$$ - $$$,$17 - $20,Paris,48.8851344,2.3359956
Lakshmi Bhavan,"57 rue Rodier, 75009 Paris France",297,4.5,,284,$,,Paris,48.8810711,2.3441118
Le Maharaja,"48 rue la Condamine, 75017 Paris France",305,4.5,Dear sir/madame please note That Our restaurant Is adapted for européens(it is not suitable for indian) thanking you for you understanding,587,$$ - $$$,$20 - $50,Paris,48.8861862,2.3220742
Il Carpaccio,"37 Avenue Hoche, 75008 Paris France",296,4.5,"Our Italian restaurant Il Carpaccio is the only Michelin-star Italian restaurant in Paris. It first opened its doors 30 years ago, and has since established itself as a true institution. Drawing on his heritage, Chef Roberto Rispoli gives a very personal interpretation of traditional family recipes from Italy's many regions, using the best and freshest Italian produce. Originally from Pompei near Naples, Roberto has revived Il Carpaccio under the direction of Executive Chef Laurent Andre, with superstar pastry chef Pierre Herme bringing classic Italian desserts to a whole new level, and Head Sommelier Manuel Peyrondet (Meilleur Ouvrier de France and Best Sommelier in France) sharing his passion for Italian wines. The intimate dining room draws on a Sicilian baroque style with an extravagant shell decor on the walls, opening onto a lovely glass conservatory drenched in light. Two contemporary artists have created unique works of art that add to the Italian theme.",912,$$$$,$65 - $125,Paris,48.8757736,2.3002863
Oxymore,"60 rue Saint Maur, 75011 Paris France",309,4.5,,399,$$ - $$$,,Paris,48.8631422,2.379333
A modo mio,"4 rue de Turenne, 75004 Paris France",266,4.5,,313,$$ - $$$,$13 - $35,Paris,48.8549472,2.3633131
Chez Marcel,"7 rue Stanislas, 75006 Paris France",251,4.5,,938,$$ - $$$,$25 - $60,Paris,48.8437934,2.328337
La Becane A Gaston,"24 rue Lucien Sampaix, 75010 Paris France",278,4.5,,355,$$ - $$$,$20 - $60,Paris,48.8725261,2.3611116
Lorette,"Rue Saint Lazare, 75009 Paris France",248,4.5,"On the menu, no fake but essential dishes, authentic and tasty French cuisine. Old-fashioned mayo eggs, string salmon with brioche bread or crispy chicken salad, followed by sausage puree, steak or fillet of bar accompanied by chorizo ​​black rice. And finally be tempted by the profiteroles sprinkled with hot chocolate instead or the already famous French toast.",220,$$ - $$$,$14 - $40,Paris,48.8758136,2.3287724
Eataly Paris Marais,"37 Rue Sainte-Croix De La Bretonnerie, 75004 Paris France",307,4.0,,2981,$$ - $$$,$10 - $40,Paris,48.8582103,2.3543485
Invictus,"5 rue Sainte Beuve, 75006 Paris France",301,4.5,"Welcome to Paris, little french restaurant, near by le Jardin du Luxembourg and Montparnasse area, you will find a traditional french cuisine with some influence from my different visits overseas. Fresh product, veggies, fishes, meats and a lot of different flavours. We are opened every night from 7PM to 10 PM. Hope to see you you soon and be a part of your lovely trip in Paris, A bientôt!!!",902,$$ - $$$,$25 - $70,Paris,48.8441013,2.3297404
La Vie d'Ange,"41 boulevard Saint Jacques Montparnasse, 75014 Paris France",263,4.5,"We propose French traditional ""bistronomic"" cuisine with fresh products only, and propose an exceptional choice of french wines (bottles or glasses) that we personally selected. We are located between the Catacombes and the Marriot Rive Gauche Hotel. Open for Lunch and Dinner from Monday to Friday and for Dinner only on Saturday. Closed Sunday. Thierry and Aida will welcome you in their little for a delicious gastronomic and oenological experience....At a very reasonable price. You can also ask for a fixed-price menu for groups (+10 people), or privatize the restaurant for special events (from 25 to 40 people) Contact us by mail on our web-site.",678,$$ - $$$,$28 - $66,Paris,48.8337989,2.3344629
Sapori di Parma,"56 avenue de la Bourdonnais, 75007 Paris France",302,4.5,,506,$,,Paris,48.8562123,2.3021361
Le Poulbot,"3 rue Poulbot Montmartre, 75018 Paris France",313,4.5,,1001,$$ - $$$,$8 - $35,Paris,48.8868754,2.3398591
Kitchen Terre,"26 boulevard Saint-Germain, 75005 Paris France",282,4.5,,278,$$ - $$$,$26 - $57,Paris,48.8496404,2.3527459
Neige d'ete,"12 rue de l Amiral Roussin, 75015 Paris France",293,4.5,,326,$$$$,,Paris,48.8454117,2.2990085
Le Baron Rouge,"1 rue Theophile Roussel, 75012 Paris France",310,4.5,Credit Card accepted over 20 euros No reservations Oysters on Saturdays and Sundays from October to April,537,$$ - $$$,$4 - $20,Paris,48.8494403,2.3774423
Kitchen Galerie Bis,"25 rue des Grands Augustins, 75006 Paris France",270,4.5,,735,$$$$,$29 - $66,Paris,48.853803,2.3403816
Mezze De Beyrouth,"38 rue de l ouest, 75014 Paris France",295,4.5,,227,$$ - $$$,,Paris,48.8364659,2.31998
Joe Burger,"49 rue Descartes, 75005 Paris France",236,4.5,,778,$,,Paris,48.8451135,2.3492041
Lao Chaleune,"29 Rue du Chateau des Rentiers, 75013 Paris France",323,4.5,,358,$$ - $$$,,Paris,48.8242459,2.3702637
Le Kigawa,"186 rue du Chateau, 75014 Paris France",327,4.5,,325,$$$$,$58 - $75,Paris,48.8331436,2.3242782
Le Petit Champerret,"30 rue Vernier, 75017 Paris France",345,4.5,,264,$$$$,,Paris,48.88457,2.2910077
Meating Corner,"8 Rue des Lombards, 75004 Paris France",319,4.5,,390,$,$14 - $30,Paris,48.8591459,2.3499602
L'Insoumise,"15 rue Auguste Chabrieres, 75015 Paris France",304,4.5,"Restaurant traditionnel servant une cuisine Française. A deux pas de la Porte de Versailles et du Dôme de Paris, nous vous accueillons à l'occasion de salons, conventions ou spectacles. Réservez sur notre site internet et obtenez votre table, chez nous et ""chez vous"". Parfois ouvert le Dimanche. Traditional french restaurant near the ""Parc Expo Porte de Versailles"". Come and have diner during an exhibition or convention. Book your table on our website, get your table, and ""feel at home"". Open on Sunday exceptionally for groups.",299,$$ - $$$,$15 - $25,Paris,48.8350076,2.2892613
Maison Pinsa,"8 Rue Du Faubourg Poissonniere, 75010 Paris France",294,5.0,,86,$$ - $$$,,Paris,48.871346,2.3480348
Mavrommatis,"42 rue Daubenton, 75005 Paris France",340,4.5,"Rewarded with a Michelin star in 2018, the Mavrommatis restaurant has been the benchmark for Greek gastronomy in Paris since 1993. The establishment combines, through skilfully studied aesthetic dishes, ""the best products from Greek terroirs with French cooking techniques. Acclaimed by many personalities, by the gourmets of the Censier Daubenton district and by all of Paris, Mavrommatis offers an enchanting Mediterranean break in the heart of the capital. For your evenings or dinners a private lounge is located on the first floor.",486,$$$$,$37 - $147,Paris,48.8405466,2.3512744
Chez Delphine,"48 Rue Saint-Georges, 75009 Paris France",326,4.5,,484,$$ - $$$,$22 - $45,Paris,48.877242,2.3373114
Aux Cerises,"47 avenue de Suffren, 75007 Paris France",336,4.5,"Breakfast, lunch, Brunch and tea time",399,$$ - $$$,$13 - $29,Paris,48.8536599,2.2972412
Le Vieux Bistrot,"54 rue Mouffetard, 75005 Paris France",312,4.5,,786,$$ - $$$,$22 - $35,Paris,48.843267,2.3494963
L'Alchimiste,"181 rue de Charenton, 75012 Paris France",318,4.5,Ce restaurant était anciennement un vieux bougnat. Paulo est au commande de l'Alchimiste depuis 15 ans. Il vous offre une cuisine créative et généreuse dans une ambiance bistrot. Prix Abordables et service toujours de bonne humeur au rendez vous!,523,$$ - $$$,$12 - $25,Paris,48.8432092,2.3854751
La Brasserie Thai,"5 rue Poulbot, 75018 Paris France",320,4.5,"Brasserie Thai traditionnelle a Montmartre. Fermeture : lundi - mardi Service continu samedi, dimanche et jours feries Salle de reception a l'etage",441,$$ - $$$,$15 - $43,Paris,48.8868059,2.3398109
Fric-Frac Canal St-Martin,"79 quai de Valmy, 75010 Paris France",331,4.5,,274,$,$10 - $25,Paris,48.8724156,2.3640193
Chez Pradel,"168 rue Ordener, 75018 Paris France",334,4.5,,277,$,,Paris,48.8939135,2.3350409
Jeannot et Colin,"51 Boulevard Voltaire, 75011 Paris France",333,4.5,,271,$$ - $$$,$15 - $45,Paris,48.8623529,2.3727843
Thai Spices,"5 rue de l ave Maria, 75004 Paris France",324,4.5,The owner and the staff changed since June 12th 2014.,591,$$ - $$$,$30 - $50,Paris,48.8527029,2.3603882
Yakigushi,"42 avenue Henri Ginoux, 92120 Montrouge France",3,4.5,The restaurant is closed from July 14th 2018 to August 15th 2018 included.,278,$$ - $$$,,Paris,48.8197569,2.3237164
Les Papilles,"30 rue Gay Lussac, 75005 Paris France",317,4.5,,2320,$$ - $$$,$141,Paris,48.8445693,2.3417345
Buono Sano Bello,"14 rue de la Villette, 75019 Paris France",356,4.5,,345,$,$8 - $18,Paris,48.8753934,2.3875024
Tour d'Argent,"15 quai de la Tournelle, 75005 Paris France",325,4.5,,2622,$$$$,$85 - $300,Paris,48.8498148,2.3550979
Le Touareg,"228 Rue De Charenton, 75012 Paris France",349,4.5,"Idéalement situé au cœur du 12ème arrondissement de paris, notre etablissement vous invite à venir découvrir ses nombreuses spécialités dans un cadre convivial et chaleureux. Le Touareg est un restaurants familiales qui vous fera traversé la Méditerranée, sa décoration et son cadre idyllique vous ferons plongé à ne point douter au sein de ces fameux contes berbères. Notre établissement est très apprécié pour ses différents mets et nôtre expérience de quinze ans est un atout considérable pour vous offrir un service optimal digne de ce nom.",515,$$ - $$$,$20 - $35,Paris,48.8398855,2.3883829
Stellar Restaurant - Ephemera,"45, Rue Saint-Sebastien, 75011 Paris France",335,4.5,,255,$$ - $$$,$15 - $25,Paris,48.8618472,2.3716722
Le Petit Littre,"16 rue Littre, 75006 Paris France",350,4.5,"Le Petit Littré is a typical Parisian Bistro, where you will find quality cuisine made with 100% fresh products. open from Tuesday to Saturday Lunch from 12:00 to 14:30 Dinner from 19:15 to 22:30 Bar closes at 1:00 am",757,$$ - $$$,,Paris,48.8450058,2.3240987
Flottes,"2 rue Cambon, 75001 Paris France",355,4.0,,2121,$$ - $$$,$25 - $50,Paris,48.866297,2.325326
Le Bistro du Perigord,"71 rue Saint Jacques, 75005 Paris France",357,4.5,,595,$$ - $$$,,Paris,48.8498914,2.3451545
Guy Savoy,"Monnaie De Paris, 11 Quai De Conti, 75006 Paris France",341,4.5,"Restaurant Guy Savoy, ranked amongst the very best in every gastronomic guide, is situated in Monnaie de Paris, spread across six 18th century salons offering views onto the Seine, the Louvre, the Pont Neuf and the Institut de France. Here architect Jean-Michel Wilmotte envisaged a setting at once restrained and contemporary, where works of art stoke the fires of modernity and where the dining table becomes a veritable theatrical stage, focusing and capturing light. Guy Savoy’s dining room is one of conviviality, warmth and impeccable service, where the cuisine expresses the sensitivity of a chef wholly at ease in this modern era: Artichoke soup with black truffle and layered truffled mushroom brioche; Red mullet ‘swimming in the sea’; Millefeuille ‘à la minute’ with Tahitian vanilla… As Guy Savoy puts it, “Cuisine is the art of instantly transforming produce rich with history into joy.”",945,$$$$,,Paris,48.8564015,2.3384956
Racina,"43 rue Descartes, 75005 Paris France",343,4.5,Italian restaurant with Sicilian specialties.,374,$,$6 - $20,Paris,48.8453138,2.3491879
Bistrot Paul Chene,"123 rue Lauriston, 75116 Paris France",366,4.5,"The kitchen staff remains under the direction of Philippe Mercier who has been in the position for Established in 1959 by Paul Chene chef cuisinier by training, and located in the heart of the Trocadero district of Paris, the restaurant 'Paul Chene' is recognized as an institute of traditional French cuisine. The high standards set by Paul Chene as a celebration of regional products.",831,$$$$,$18 - $60,Paris,48.8657828,2.2858843
Bistrot chez France,"9 rue Amelie, 75007 Paris France",338,4.5,"A deux pas de la Tour Eiffel et des rues commerçantes du 7ème arrondissement, un bistrot comme on les aime à Paris ... dans une ambiance conviviale, Bistrot chez France et son équipe vous proposent une cuisine traditionnelle française, à base de produits frais. Formule midi à 18,50 euros (entrée/plat ou plat/dessert), menu du Bistrot à 33 et 38 euros. Plats du jour et suggestions selon le marché et la saison. Sélection de vins de producteurs, à partir de 6 euros le verre/26 euros la bouteille.",902,$$ - $$$,$19 - $38,Paris,48.8590708,2.3075566
Ristorante Italiano 0039,"24 rue des Tournelles Quartier Le Marais, 75004 Paris France",332,4.5,"Restaurant très convivial et familial, nous vous attendons pour passer un excellent moment en Italie.",999,$$ - $$$,$25 - $40,Paris,48.8549418,2.3673509
De l'Autre Cote,"7 rue Leon Jouhaux, 75010 Paris France",352,4.5,,361,$$ - $$$,,Paris,48.8690576,2.3639838
le goyavier,"4 rue Saint Bernard, 75011 Paris France",376,4.5,"Le Goyavier is a friendly and family restaurant of Reunionese cuisine open since 1987, and located in the 11th district of Paris. Le Goyavier est un restaurant de cuisine réunionnaise, chaleureux et familial depuis 1987 et situé dans le 11ème arrondissement de Paris.",245,$$ - $$$,$22 - $43,Paris,48.8506738,2.3815476
L'Apibo,"31 rue Tiquetonne, 75002 Paris France",372,4.5,,490,$$$$,$15 - $60,Paris,48.8647067,2.3473986
Ciasa Mia,"19 rue Laplace, 75005 Paris France",330,4.5,"Ciasa Mia est un restaurant gastronomique italien inspiré du Tyrol italien, plus précisément des Dolomites, d'où nous sommes originaires. Ciasa Mia en effet, veut dire ma maison dans notre langue traditionnelle ""Ladina"" parlée dans certaines vallées des Dolomites. Les produits frais et de saison sont préparés et travaillés par Samuel avec passion et personnalité et sont très attentivement choisis. Nos menus changent toutes les saisons pour donner satisfaction à vos papilles avec des nouvelles recettes innovantes et créatives. Nous proposons des menus dégustations surprise en 5 ou 7 temps disponibles midi et soir, ainsi que un menu déjeuner ""Carte blanche"" en 3 temps! C’est dans l’un du plus vieux et beau quartier de Paris près de la place du Panthéon qu’on vous reçoit comme à la maison. La gentillesse et la chaleur d’un ""chez soi"" sont au rendez-vous. La rue calme, le cadre soigné, les poutres et les pierres apparentes, vous feront sentir loin d’une grande ville.",547,$$$$,$45 - $105,Paris,48.8474156,2.3470448
Ripaille,"69 rue des Dames, 75017 Paris France",370,4.5,,286,$$ - $$$,$29 - $59,Paris,48.883636,2.3208296
MARDI - Creperie Urbaine,"137 rue Montmartre, 75002 Paris France",342,4.5,"Mardi is the place for crepe lovers ! Create your own savory or sweet crepes by choosing among our 50 salted or sweet topics. Eat here or take away. Mardi proposes vegetarian, halal and gluten free meal.",368,$$ - $$$,$2 - $15,Paris,48.8698987,2.3426787
Substance,"18 rue de Chaillot, 75116 Paris France",303,4.5,,373,$$$$,$39 - $110,Paris,48.8673254,2.2975781
Pedzouille l'Etable,"66 rue du Faubourg Poissonniere, 75010 Paris France",348,4.5,,507,$$ - $$$,,Paris,48.8760155,2.3483931
Maison Binder,"43 Rue Halle, 75014 Paris France",237,5.0,,88,$$ - $$$,$12 - $30,Paris,48.8304325,2.3312434
Korus,"73 rue Amelot, 75011 Paris France",337,4.5,,198,$$$$,$36,Paris,48.8592436,2.3681854
Auguste,"54 rue de Bourgogne, 75007 Paris France",351,4.5,,573,$$$$,,Paris,48.8562753,2.3170116
A L'endroit,"9 rue du Tunnel, 75019 Paris France",365,4.5,,512,$$ - $$$,$40 - $60,Paris,48.878941,2.385151
Kashmir House,"36 rue de Chabrol, 75010 Paris France",361,4.5,,1119,$$ - $$$,,Paris,48.8770367,2.3522533
Sur Mesure par Thierry Marx,"251 Rue Saint-Honore, 75001 Paris France",378,4.5,,1040,$$$$,,Paris,48.867118,2.3270818
Les petites bouchees,"4 rue du Roi de Sicile, 75004 Paris France",360,4.5,,600,$$ - $$$,$14 - $20,Paris,48.8556193,2.3607419
Anicia,"97 rue du Cherche Midi, 75006 Paris France",382,4.5,,324,$$$$,$29 - $55,Paris,48.8467029,2.3212725
Tomy & Co,"22 rue Surcouf, 75007 Paris France",381,4.5,,450,$$$$,,Paris,48.8605426,2.3094173
Perchiana,"7 rue Mademoiselle, 75015 Paris France",401,4.5,,606,$,,Paris,48.8436103,2.2940442
SOURIRE GALANDE tapas francaises,"27 rue Galande, 75005 Paris France",346,4.5,Bar à tapas à la française proposant des petits plats à partager dans un décor style loft new-yorkais. L'ambiance conviviale et l'équipe jeune fond de l'établissement un endroit aussi agréable entre amis qu'en famille. Le chef propose une cuisine de saison et se fournit directement auprès de petits producteurs. Le vin est dûment sélectionné auprès de vignerons indépendants.,1007,$$ - $$$,$25 - $40,Paris,48.851177,2.347733
Pause Bobun,"3 rue Buffon, 75005 Paris France",383,4.5,"This Place is Temporarily Closed. At Pause Bobun, Mom is in charge of the kitchen. She has been cooking for her whole life and it is her recipes and flavors you'll enjoy in your dishes. The cuisine here is 100% authentic. No freezer - The spring rolls, crêpes, sauces, skewers, salads, desserts, everything is made from ingredients daily brought from the market. Our team work hard everyday to give you the best. VEGAN FRIENDLY - We have one vegan starter, two choices of vegan main dishes and one dessert which led us to be listed on VegoResto (L214) and Happy Cow. You can come with a vegan friend being sure she or he will enjoy a proper meal !",311,$,$10 - $22,Paris,48.843073,2.3635038
Beccuti Bar,"91 rue de Rivoli, 75001 Paris France",404,4.5,"A warm atmosphere for an enjoyable time in the heart of Paris. Italian coffee culture, free wifi, and a wide selection of Italian specialities. 127 of passion through 4 generations. With the first bar opened in 1890 in the city of Turin, the Beccuti Bar is the first realization of the Italian family in France.",135,$$ - $$$,,Paris,48.8606788,2.3411959
Le Berbere,"62 rue Crozatier, 75012 Paris France",363,4.5,,335,$$ - $$$,,Paris,48.8494535,2.3797938
Cafe de Paris Friedland,"45 avenue de Friedland, 75008 Paris France",391,4.5,"Depuis 1er janvier 2021, L'établissement fait peau neuve et casse les codes de la brasserie traditionnelle tout en gardant les fondamentaux. Une cuisine saine et de saisons, des prix raisonnables et une équipe passionnée ! Idéalement situé, près des Champs Elysées et vu sur l'Arc de Triomphe, Le Café de Paris vous accueille tous les jours de 8h00 à 00h00 . Le service en continu de midi à 23h00 permets de s'y rendre tout au long de la journée. Le chef vous propose une carte typiquement parisienne avec par exemple un foie gras de canard au pain d'épices , une côte de boeuf gourmande à partager...ou pas. Petit avant goût, sans pour autant tout vous dévoiler, notre nouvelle carte de Cocktails inventé par notre barman, Sacha. Tout les samedis , nous accueillons des musiciens mordus de Jazz. Paris est une fête! Nous avons hâte de vous recevoir et de vous surprendre encore et toujours. Les réservations sont possible en salle et en terrasse.",637,$$ - $$$,,Paris,48.8738454,2.2977761
Bien Bien,"30 bis, rue Bergere, 75009 Paris France",379,4.5,"Hey, if you are looking for a quick break in Thailand while you staying in Paris, feel free to come and share a good time with us. We happen to cook tasty and traditional recipes, and as a family business, we also want to have a nice moment serving you. See you ^^",674,$$ - $$$,$22 - $30,Paris,48.8726231,2.3440148
Les Petits Crus,"13 rue Saint Sabin, 75011 Paris France",385,4.5,,241,$$ - $$$,,Paris,48.8552959,2.3719092
The Frog & British Library,"114 avenue de France, 75013 Paris France",321,4.0,"We are foodies at FrogPubs, be it a beer battered fish & chips, a really juicy cheeseburger or a sharing plate between friends, we take pride in making really good food. We have a daily lunch menu using fresh & seasonal produce, can cater for all types of events as well as a very special kids menu.",932,$$ - $$$,$11 - $17,Paris,48.8308522,2.3767436
New Jawad Richelieu,"95 Rue de Richelieu, 75002 Paris France",386,4.5,,638,$$ - $$$,,Paris,48.8711495,2.339569
Loufoque,"57 rue Galande, 75005 Paris France",686,5.0,"Loufoque, c'est un restaurant et bar à jeux de société au cœur de Paris! Chez nous, vous pouvez jouer à 900 jeux expliquer par nos animateurs, boire ce qui vous plaît parmi une large carte de bières, cocktails, vins et softs, et vous régaler avec des plats, desserts et tapas faits maison.",89,$$ - $$$,$12 - $25,Paris,48.8516099,2.3469206
