name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,city,latitude,longitude
Chez Arnaud,"16 rue Eugene Jumin, 75019 Paris France",45,4.5,,1633,$,$18 - $25,Paris,48.8873296,2.3925129
Azur Cafe,"63 rue de Ponthieu, 75008 Paris France",67,5.0,"Café restaurant en plein coeur du 8ème arrondissement, à deux pas des champs Elysée proposant des brunch healthy toute la journée, ainsi que des plats saint, colorés et savoureux.",242,$$ - $$$,,Paris,48.8722649,2.304458
L'Atelier Ramey,"23 rue Ramey, 75018 Paris France",40,4.5,,696,$$ - $$$,$18 - $42,Paris,48.8882828,2.3467378
Il Grano,"212 B boulevard Pereire, 75017 Paris France",50,4.5,"Family-friendly pizzeria-trattoria with delivery and take-out services open 7 days a week available at www.restaurantilgrano.com. Specialties of fresh artisanal pasta and Roman pizzas (pinsa romana which is the ancestor of Neapolitan pizza). 100% home cooking including bread and desserts. The restaurant offers a wide view of the open kitchen, possibility of eating on the terrace.",1718,$$ - $$$,$15 - $35,Paris,48.8816186,2.2906963
Poni,"24 rue Saint Lazare, 75009 Paris France",44,5.0,"Dans notre établissement, vous pouvez déguster de délicieux repas sans avoir à attendre longtemps votre repas. Nous nous réjouissons de votre visite. Nos clients apprécient notre bistrot pour la fraîcheur et la qualité de ses plats. Testez par vous-même et laissez-vous convaincre. Notre offre vous inspirera. Vous pouvez vous installer au soleil dans notre sublime espace et profiter de l’été avec vos amis. Notre bistrot climatisé vous accueille pour passer un moment agréable peu importe la température extérieure. Un excellent bistrot pour déjeuner Vous serez ravis par nos recettes françaises et variées préparées par nos cuisiniers à votre attention. Notre excellente cuisine s’accompagne d’une vaste gamme de plats et de boissons délicieuses. Savourez les excellents plats du terroir, les plats régionaux variés ou les excellentes salades, créés avec passion par nos chefs de cuisine. Notre tiramisu et notre confiture délicate vous séduiront pour le goûter. Passez nous voir pour un petit-d",563,$$ - $$$,$12 - $45,Paris,48.8767922,2.3369415
JJ Beaumarchais,"92 boulevard Beaumarchais, 75011 Paris France",62,5.0,,288,$$ - $$$,$18 - $50,Paris,48.8598784,2.3677677
Bus Toque,"67 Av. des Champs-Elysees, 75008 Paris France",46,5.0,,900,$$$$,$65 - $105,Paris,48.8683306,2.312152
Alliance,"5 rue de Poissy, 75005 Paris France",34,5.0,,546,$$$$,$75 - $245,Paris,48.8499232,2.3533019
Verse Toujours,"3 Avenue Des Gobelins, 75005 Paris France",31,5.0,,316,$$ - $$$,$12 - $26,Paris,48.8384467,2.3510122
Orgueil,"6 rue Popincourt, 75011 Paris France",42,5.0,,653,$$$$,$20 - $50,Paris,48.8570997,2.3776923
Chez Cleopatre (Tacoos -Burger),"46 rue Condorcet, 75009 Paris France",58,5.0,,651,$,$6 - $25,Paris,48.8802474,2.3435711
Petit Boutary,"16 rue Jacquemont, 75017 Paris France",17,5.0,"Dans une rue calme des Batignolles, dans une atmosphère de bistro moderne, notre Chef Kazu vous accueille à sa ""table du Chef"". Laissez vous surprendre par ses menus du jour, renouvelés à chaque saison...",574,$$$$,$49 - $64,Paris,48.8878286,2.3224481
Terra Mia,"118 boulevard du Montparnasse, 75014 Paris France",37,5.0,Gastronomy Of The Naples Cuisine,627,$$ - $$$,$10 - $30,Paris,48.8414918,2.3305395
Milord,"12 rue Tolbiac, 75013 Paris France",47,5.0,,143,$$ - $$$,,Paris,48.829797,2.3750717
Le jardin du Kashmir,"60 rue Legendre, 75017 Paris France",85,4.5,,630,$$ - $$$,,Paris,48.8853359,2.3163735
Bistrot Kinzo,"13 rue Rougemont, 75009 Paris France",32,5.0,"French and Japanese fusion. Fresh products and a menu that evolves with the seasons. The owner Edward Uchiyama was the Head Chef at the Intercontinental hotel Marceau, worked for Joel Robuchon and at the Four Seasons George V hotel. Come and experience a Journey to Japan and France with our 6 course Tasting menu and wine paring.",245,$$$$,$18 - $49,Paris,48.8720126,2.3459034
Ristorante Garum,"64 rue Sedaine, 75011 Paris France",56,5.0,,160,$$ - $$$,,Paris,48.8580491,2.3773676
Le 27 Gourmand,"27 boulevard des Batignolles, 75008 Paris France",87,4.5,"Situé au coeur du quartier des Batignolles, à deux pas de la gare Saint-Lazare, de la place de Clichy ou encore du théâtre Hébertot et de l'Européen, depuis maintenant 23 ans, Valérie et Nicolas vous accueillent avec grand plaisir pour vous proposer une table d'exception. Nous mettons au centre de notre priorité votre satisfaction en vous proposant un cadre chic et moderne, ainsi qu'un service personnalisé. Vous dégusterez de la cuisine du Sud Ouest préparée avec des produits français d'excellente qualité tels que Magrets et Confit de Canard, Foie Gras de Canard, desserts Maison. Nous organisons tous vos évènements midi et soir.",323,$$ - $$$,$35 - $48,Paris,48.8826233,2.3239751
Frog & Underground,"176 rue Montmartre, 75002 Paris France",49,5.0,"Frog & Underground is based in the famous ""grands boulevards"" district. The pub, once the french beer factory, has kept its original feel with its exposed brick walls and factory style decoration... Try out our genuinely good burger and our great graft beer.",1156,$$ - $$$,$12 - $19,Paris,48.8710684,2.3430364
Les Apotres de Pigalle,"2 rue Germain Pilon, 75018 Paris France",26,5.0,"Eat, Drink, Share... That's Les Apôtres de Pigalle. Short Menu of dishes to share, made out of daily-cooked ingredients Selection of quality wines Vibrant atmosphere Roland, Thibault & Gautier are looking forward to receive you ;)",2676,$$ - $$$,$5 - $25,Paris,48.8830182,2.3363265
