name,city_name,latitude,longitude,estimated_cost,opening_time,closing_time,closed_days
Tapir terrestre,Paris,48.8333984,2.417529,5,09:30,18:30,Monday
Vautour fauve,Paris,48.8343102,2.419898,5,09:30,18:30,Monday
Zèbre de Grévy,Paris,48.8316935,2.4183734,5,09:30,18:30,Monday
Autruche,Paris,48.8325853,2.4182148,5,09:30,18:30,Monday
Addax,Paris,48.8321129,2.4185267,5,09:30,18:30,Monday
Grand Calao terrestre,Paris,48.8313143,2.4186572,5,09:30,18:30,Monday
Grue couronnée,Paris,48.8326179,2.4184909,5,09:30,18:30,Monday
Manchot de Humboldt,Paris,48.8317571,2.4175394,5,09:30,18:30,Monday
Vigogne,Paris,48.8326251,2.415763,5,09:30,18:30,Monday
Otarie à crinière,Paris,48.8320654,2.4172845,5,09:30,18:30,Monday
Puma,Paris,48.831296,2.4179519,5,09:30,18:30,Monday
Rhinocéros blanc,Paris,48.8315124,2.4188586,5,09:30,18:30,Monday
Aigrette garzette,Paris,48.833723,2.418647,5,09:30,18:30,Monday
Ara hyacinthe,Paris,48.8333367,2.4172979,5,09:30,18:30,Monday
Avocette élégante,Paris,48.833656,2.41868,5,09:30,18:30,Monday
Calao trompette,Paris,48.8336347,2.4185416,5,09:30,18:30,Monday
Chevalier gambette,Paris,48.8335914,2.4187338,5,09:30,18:30,Monday
Cigogne d'Abdim,Paris,48.8337427,2.4188073,5,09:30,18:30,Monday
Dendrocygne fauve,Paris,48.833559,2.4186222,5,09:30,18:30,Monday
Echasse blanche,Paris,48.8335487,2.4188435,5,09:30,18:30,Monday
Flamant rose,Paris,48.8335036,2.4187406,5,09:30,18:30,Monday
Fossa,Paris,48.833464,2.415708,5,09:30,18:30,Monday
Lémuriens,Paris,48.8331122,2.4160451,5,09:30,18:30,Monday
Lémuriens,Paris,48.8331122,2.4160451,5,09:30,18:30,Monday
Héron garde-bœuf,Paris,48.8336902,2.4187471,5,09:30,18:30,Monday
Ibis chauve,Paris,48.8337317,2.4187481,5,09:30,18:30,Monday
Ibis falcinelle,Paris,48.8337548,2.4187199,5,09:30,18:30,Monday
Loutre d'Europe,Paris,48.8338687,2.4201002,5,09:30,18:30,Monday
